"train_ret","train_risk","train_sharpe","test_ret","test_risk","test_sharpe"
0.000830973579527751,0.0103844947230309,0.0800206078091412,0.00024968788803918,0.00725296589317036,0.0344256255601994
0.000871308681472908,0.0109038875744295,0.079908076410857,0.000339081737591374,0.00811110235339227,0.0418046429224951
0.000835274221010545,0.0110745570550165,0.0754228107599291,0.00032772250090752,0.0077624941353293,0.0422187115628162
0.000801541750058908,0.0103727739732705,0.0772736157294462,0.000377427704680407,0.00743407221352573,0.0507699809525265
0.000942484218190466,0.0107343160249607,0.087801050015566,0.000233507791951478,0.0080224345356712,0.0291068491632062
0.000830441609358009,0.0102279719552805,0.081193184043614,0.000392462572530194,0.00752580003934676,0.0521489503412663
0.000774741797946947,0.011101061954731,0.069789881464158,0.000543024603121909,0.00805042887969646,0.0674528787517694
0.000749727067371666,0.0109270408534745,0.0686120860556016,0.000509894703034146,0.0077088294855388,0.0661442445951971
0.00084356363991669,0.0106240349926151,0.0794014365072277,0.000545359064902682,0.007786063992944,0.070042972340955
0.00070311752244096,0.0105299931819211,0.0667728373887401,0.000450987677264048,0.00794203884402731,0.056784874277366
0.000881515943607985,0.0111494281185079,0.0790637810512165,0.000638944111612922,0.0082394675081273,0.0775467724076436
0.000812246402627071,0.0115337634323283,0.0704233624517042,0.000345824893501385,0.00818569898748357,0.042247448144645
0.000739178224600015,0.0115337431781184,0.0640883200869578,0.000402147887640222,0.00876863371547122,0.0458620921672984
0.000725152182939174,0.0113291902644961,0.0640074150057915,0.00070967822597114,0.00802818742326692,0.0883983131627425
0.000806582197052956,0.0106082148081994,0.076033735330239,0.00031767417897976,0.00740527934542877,0.0428983383558459
0.000580573655919842,0.0118715205018824,0.0489047427267454,0.000585675781295626,0.00816740921483462,0.0717088817139041
0.000772931393273245,0.0116918660474165,0.0661084714910871,0.000669958970960312,0.0088756192254509,0.0754830681603826
0.000531837021927673,0.0112024130078236,0.0474752199866444,0.000350357394885692,0.00843737458418308,0.0415244566174034
0.000864006728396236,0.010719888476367,0.0805984810663863,0.000401562622367035,0.00769502524176676,0.0521847050205174
0.000720199140034783,0.0115991407257366,0.0620907321554244,0.000508896032366699,0.00824493749374243,0.0617222426189319
0.000757058902339224,0.0106797299109265,0.0708874577029024,0.00050825738522151,0.00784980401240218,0.0647477802526657
0.000776817699025011,0.0105630745627167,0.0735408705498356,0.000351520161244624,0.0079434291799174,0.0442529483530033
0.000763040456218906,0.0110049322525097,0.0693362247682076,0.000401490166117091,0.00777135860583106,0.0516628026682287
0.000721282954689737,0.010764840680392,0.0670035884510159,0.000720868567575043,0.00762881332621586,0.0944928833292893
0.000780934112258896,0.0106090346135557,0.0736102897865047,0.000373736001499268,0.00772002285971084,0.0484112558072486
0.000688287406535053,0.0105914122421011,0.06498542317134,0.000275836660347426,0.00766877426712657,0.0359688068443798
0.000714435205632171,0.0104519001505189,0.0683545762343225,0.000498073525632406,0.00774839060584424,0.0642809005081305
0.000788469115126374,0.0108112824233512,0.07293021162997,0.000428127153306999,0.00792662019359537,0.0540113116120944
0.000800283550547856,0.0100267635331339,0.0798147426039602,0.000371866944627229,0.00734271272842615,0.050644354257195
0.000955979748528744,0.0107736390067459,0.0887332263434996,0.000452530987683285,0.00792490958537155,0.0571023533843975
0.000696385128444392,0.0110267192627949,0.0631543355596309,0.000527677149725451,0.0079934677757886,0.0660135456258085
0.000853009861396875,0.010915996508816,0.0781431050026415,0.000108290781412045,0.008404165626462,0.0128853697351075
0.000761025271572133,0.0098841918890906,0.0769941822367991,0.000270471183186946,0.00741157608325355,0.0364930724786156
0.000749076655158212,0.0106105761143739,0.070597170887211,0.000359705159285817,0.0076379118843743,0.0470946987515927
0.000749572741291134,0.0105208460151283,0.0712464321037773,0.000453400238928749,0.00751662266187762,0.0603196753813756
